date,Mkt-RF,SMB,HML,RF,ge,ibm,mobil,CRSP
197204,0.26,0.01,0.39,0.29,4.6422,0.981,1.7032,0.5491
197205,1.34,-2.77,-2.71,0.3,1.6636,3.3938,6.9856,1.6372
197206,-2.38,0.36,-2.4,0.29,-3.8545,-1.4456,1.81,-2.0894
197207,-0.74,-2.86,0.72,0.31,-4.1825,2.2321,5.7778,-0.4248
197208,3.31,-4.09,4.62,0.29,5.5556,2.2707,14.1176,3.5972
197209,-1.11,-2.67,0.48,0.34,0.3383,-0.4896,1.6729,-0.767
197210,0.47,-2.71,1.36,0.4,-3.7665,-5.1661,2.3035,0.8678
197211,4.61,-1.13,4.78,0.37,6.8102,1.7769,5.9567,4.977
197212,0.75,-1.87,-2.3,0.37,7.3665,2.8133,0.8518,1.1246
197301,-3.2,-3.51,2.7,0.44,-3.9451,8.3333,1.6216,-2.7655
197302,-4.86,-3.98,1.71,0.41,-3.9643,-0.597,-13.9262,-4.4492
197303,-1.25,-2.91,2.79,0.46,-3.5514,0,8.9669,-0.7942
197304,-5.7,-4.03,5.65,0.52,-8.1395,-5.4461,-4.4723,-5.1735
197305,-2.96,-6.12,0.17,0.51,0.4219,-3.2261,-2.6966,-2.4497
197306,-1.38,-2.96,1.4,0.51,-2.9832,0.7149,0.1946,-0.8689
197307,5.07,7.96,-5.31,0.64,9.3682,-0.7886,-5.3204,5.7109
197308,-3.67,-2.14,1.22,0.7,-5.7769,-3.9364,-2.0747,-2.9654
197309,4.72,2.89,2.14,0.68,7.2304,-14.2857,6.7797,5.3993
197310,-0.68,-0.21,1.76,0.65,3.7698,8.624,-7.0238,-0.0296
197311,-12.64,-7.75,3.99,0.56,-2.8298,-5.0419,-18.1425,-12.088
197312,0.5,-5.31,4.05,0.64,-0.198,-6.8868,11.8734,1.1442
197401,-0.19,9.79,5.88,0.63,-4.9603,-0.6079,-5.566,0.5024
197402,-0.35,-0.06,2.51,0.58,-4.7599,-2.4852,-9.8985,0.2648
197403,-2.9,2.41,-0.08,0.56,-4.1943,-0.8933,2.5352,-2.2878
197404,-5.35,-0.82,0.96,0.75,-5.9908,-3.6055,-4.011,-4.6377
197405,-4.95,-2.94,-2,0.75,-5.3922,-5.9274,-3.207,-4.1974
197406,-2.89,-0.16,0.8,0.6,2.9016,0.1176,-3.3133,-2.2946
197407,-7.79,0.86,5.17,0.7,-12.6904,-5.2291,2.9283,-7.0891
197408,-9.38,-0.7,2.61,0.6,-11.9186,-4.0298,-8.642,-8.7741
197409,-11.78,0.31,5.5,0.81,-16.4356,-17.1875,-11.8243,-10.9712
197410,16.05,-3.4,-9.8,0.51,22.4,18.9465,12.4138,16.5614
197411,-4.64,-1.21,-0.17,0.54,-2.9412,-5.4858,-8.0139,-4.094
197412,-3.4,-4.83,0.06,0.7,-9.0236,-5.2186,9.0909,-2.7007
197501,13.58,10.96,8.24,0.58,15.7303,12.0536,16.9444,14.1429
197502,5.41,0.18,-4.44,0.43,15.2751,15.2722,0.303,5.861
197503,2.61,3.8,2.5,0.41,4.2493,-4.1183,-3.9275,3.0163
197504,4.21,-0.51,-1.24,0.44,0,1.5729,3.3962,4.6423
197505,5.07,3.87,-4.15,0.44,-1.3587,3.1566,17.7019,5.5156
197506,4.74,0.75,1.34,0.41,16.8595,-2.7907,0.2639,5.1587
197507,-6.52,2.67,1.65,0.48,-10.2138,-8.9713,-4.5263,-6.0447
197508,-2.84,-3.23,-0.86,0.48,-2.1164,-1.1827,-0.8427,-2.3611
197509,-4.33,-0.06,0.4,0.53,-4,1.0738,1.1331,-3.7964
197510,5.03,-4.04,0.3,0.56,9.375,12.749,4.7059,5.6037
197511,2.71,-1.21,2.03,0.41,0.2597,7.4794,-1.0899,3.1164
197512,-1.58,-0.79,1.76,0.48,-3.5751,-0.9387,4.1322,-1.1014
197601,12.13,4.8,8.57,0.47,21.4092,14.9387,16.8783,12.5958
197602,0.39,7,5.81,0.34,-4.6875,-0.1455,-1.1494,0.7165
197603,2.28,-1.16,-0.11,0.4,-0.8899,2.4939,7.907,2.6804
197604,-1.46,-0.05,-0.07,0.42,2.381,-3.292,2.3707,-1.0473
197605,-1.31,-1.26,-1.32,0.37,-5.3488,1.9734,1.8526,-0.9363
197606,4.02,-1.34,0.78,0.43,13.0713,7.8422,0.4193,4.4439
197607,-1.09,0.28,1.74,0.47,-4.5952,-1.6712,-2.2965,-0.6111
197608,-0.56,-1.97,0.83,0.42,-2.7523,1.378,-0.0427,-0.1385
197609,2.01,0.01,-0.32,0.44,2.9717,2.8323,6.7245,2.45
197610,-2.45,0.16,-0.18,0.41,-1.3857,-3.4207,-1.626,-2.0402
197611,0.14,2.35,1.49,0.4,-5.1522,0.552,0.5372,0.5578
197612,5.76,2.98,2.27,0.4,10.7654,2.9982,8.5595,6.16
197701,-3.99,4.81,4.29,0.36,-4.9438,-1.3883,2.8846,-3.6341
197702,-1.93,1.06,0.45,0.35,-4.4917,1.1807,0.1121,-1.5759
197703,-1.3,1.03,1.09,0.38,-1.8317,0.1812,1.8939,-0.9247
197704,0.12,-0.1,3.44,0.38,9.6692,-6.4195,-1.487,0.4957
197705,-1.45,1.25,0.89,0.37,0.6961,-4.1546,-1.5849,-1.0792
197706,4.74,2.18,-0.62,0.4,5.1613,7.5356,5.8366,5.1359
197707,-1.7,2.12,-0.59,0.42,-3.7611,1.5625,0.5515,-1.2806
197708,-1.78,1.54,-2.74,0.44,-1.8391,1.0256,-10.8592,-1.3357
197709,-0.27,1.44,-0.51,0.43,-2.9508,-2.748,3.125,0.1574
197710,-4.42,1.29,1.76,0.49,-2.1951,-1.4368,0,-3.9284
197711,4.04,3.69,0.35,0.5,1.0973,3.5957,4.9293,4.5434
197712,0.33,1.37,-0.32,0.49,-0.4988,3.5985,-0.3914,0.8209
197801,-6.01,2.22,3.3,0.49,-8.2707,-2.925,-4.6365,-5.5195
197802,-1.39,3.61,0.87,0.46,-2.1858,-4.2825,-1.6771,-0.928
197803,2.87,3.41,1.23,0.53,5.419,-6.2687,4.9041,3.4004
197804,7.74,0.37,-3.47,0.54,12.0643,12.9512,7.7236,8.2844
197805,1.81,4.63,-0.59,0.51,1.1962,-1.8308,-1.0566,2.3228
197806,-1.62,1.74,0.56,0.54,-3.2624,-0.3872,-4.2636,-1.0751
197807,5.11,0.29,-1.14,0.56,6.1881,9.2323,2.834,5.674
197808,3.69,5.08,-0.47,0.55,1.1655,4.895,5.5905,4.2352
197809,-1.31,-0.41,1.89,0.62,-1.3364,-5.0964,6.4394,-0.6892
197810,-11.78,-9.95,1.37,0.68,-10.1655,-4.6029,-6.9039,-11.0995
197811,2.68,3.1,-2.19,0.7,0.5789,3.0766,3.6965,3.3793
197812,0.99,1.27,-2.12,0.78,0,10.7607,4.1276,1.7713
197901,4.18,3.66,2.17,0.77,2.3873,3.4338,6.0541,4.9491
197902,-3.41,0.45,1.15,0.73,-3.3161,-1.7198,-0.1727,-2.6774
197903,5.75,3.2,-0.62,0.81,4.3478,5.1667,2.9412,6.5611
197904,0.05,2.19,1.08,0.8,2.3438,-0.3962,7.8992,0.8521
197905,-2.18,0.12,1.29,0.82,1.4249,-2.1671,-8.6293,-1.3597
197906,3.88,1.14,1.45,0.81,1.7812,-3.4539,8.8388,4.6851
197907,0.73,1.29,1.79,0.77,3.5,-4.9404,1.8471,1.4989
197908,5.7,2.03,-1.58,0.77,2.8986,1.5914,11.1111,6.4743
197909,-0.69,-0.27,-0.9,0.83,-3.3803,-3.2143,18,0.1409
197910,-8.14,-3.3,-1.88,0.87,-4.6798,-7.9336,-3.1477,-7.2651
197911,5.37,2.79,-3.25,0.99,-3.2041,5.988,5.0761,6.3604
197912,1.87,4.13,-2.03,0.95,9.7561,-1.341,6.2802,2.8201
198001,5.76,1.69,1.76,0.8,8.642,6.6019,7.5,6.5578
198002,-0.79,-1.8,0.59,0.89,-7.3636,-6.2149,36.6167,0.1028
198003,-13.23,-6.64,-1.03,1.21,-4.2289,-12.2047,-17.5549,-12.0207
198004,3.97,0.95,1.06,1.26,-1.2987,-1.5695,11.9392,5.2297
198005,5.2,2.08,0.34,0.81,5.7895,2.4784,0.3436,6.0073
198006,3.16,1.71,-0.87,0.61,4.0404,6.0948,-2.3973,3.771
198007,6.41,4.29,-6.22,0.53,9.2233,11.0638,5.4035,6.9447
198008,1.72,3.94,-2.64,0.64,-3.1111,1.7011,-5.8923,2.3514
198009,2.2,0.92,-4.65,0.75,-2.0642,-2.0992,0.7156,2.9481
198010,1.06,2.53,-2.7,0.95,2.8504,3.8986,5.8615,2.0038
198011,9.53,-3.37,-8.44,0.96,14.3187,3.5422,19.2953,10.4928
198012,-4.75,-0.32,2.66,1.31,0.202,-0.367,-8.1081,-3.4379
198101,-5.05,2.96,6.82,1.04,0,-5.1565,-8.2043,-4.0113
198102,0.48,-0.36,1.02,1.07,8.9796,1.1417,-6.6667,1.5533
198103,3.41,3.56,0.71,1.21,1.4981,-2.9183,-4.2125,4.6186
198104,-2.21,4.41,2.26,1.08,-2.0522,-6.012,-2.4857,-1.1243
198105,0.21,2.02,-0.39,1.15,0.1905,1.6802,-9.1633,1.3534
198106,-2.37,-0.86,5.09,1.35,-4.6768,-1.4894,5.2632,-1.0176
198107,-1.55,-2.14,-0.57,1.24,-1.4141,-3.0238,2.0833,-0.3053
198108,-6.91,-1.95,4.83,1.28,-8.4016,-0.2494,-5.7143,-5.6263
198109,-7.62,-2.66,5.2,1.24,-0.3579,-1.8141,-10.5727,-6.3748
198110,4.81,2.19,-4.16,1.21,-1.139,-4.8499,2.4631,6.0182
198111,3.52,-0.99,1.86,1.07,11.2903,7.4951,3.8462,4.5837
198112,-3.68,1.2,0.75,0.87,-3.6439,4.3578,-8.9623,-2.8082
198201,-3.42,-1.22,3.11,0.8,8.9325,11.8681,-1.5544,-2.6205
198202,-6.03,0.47,6,0.92,0.6,-1.3988,-1.5789,-5.1118
198203,-1.99,-0.23,3.91,0.98,2.0676,-3.4343,-3.8251,-1.0083
198204,3.2,1.52,-2.79,1.13,1.1834,7.5314,-1.1364,4.3273
198205,-3.88,0.48,1.84,1.06,-3.5088,-2.9416,9.1954,-2.8197
198206,-3.35,-0.38,1.52,0.96,4.202,-1.4228,-3.7634,-2.3914
198207,-3.1,0.88,0.19,1.05,3.3399,8.2474,-7.2626,-2.0539
198208,11.14,-4.15,1.13,0.76,14.4487,8.739,15.6627,11.9023
198209,1.17,2.94,0.34,0.51,0.4651,4.078,4.2553,1.6758
198210,11.27,2.33,-3.64,0.59,14.8829,8.8586,2.0408,11.8634
198211,4.56,4.79,-1.93,0.63,8.7045,9.3709,-4,5.1921
198212,0.78,-0.17,0.05,0.67,2.5676,11.2717,6.9149,1.4449
198301,3.5,2.69,-0.88,0.69,9.0909,2.7273,5.4726,4.1546
198302,2.4,3.24,0.74,0.62,4.8309,0.9962,0.9434,3.0502
198303,2.84,1.8,2.06,0.63,-2.4424,2.7778,9.5238,3.4707
198304,6.71,0.47,0.56,0.71,6.5476,14.9877,9.1304,7.4271
198305,0.63,6.18,-1.41,0.69,-7.5978,-4.1026,-5.1793,1.3074
198306,3.11,0.96,-3.83,0.67,7.3277,8.0899,7.6923,3.7997
198307,-3.9,1.5,5.57,0.74,-9.3182,0.104,-5.9524,-3.1727
198308,-0.41,-4.3,5.55,0.76,2.5063,0.0623,11.8143,0.3569
198309,0.85,0.59,1.06,0.76,4.1076,6.1715,-4.9808,1.6314
198310,-3.56,-3.6,4.97,0.76,-1.8957,-0.0985,-3.2258,-2.7745
198311,2.26,2.02,-0.72,0.7,11.3527,-6.6469,-3.3333,2.9353
198312,-1.78,-0.27,1.74,0.73,2.6258,3.9404,0.8772,-1.0431
198401,-2.06,-0.4,7.62,0.76,-7.2495,-6.4549,8.4348,-1.2917
198402,-4.62,-1.67,3.36,0.71,-4.3678,-2.563,2.449,-3.9171
198403,0.61,0.06,0.55,0.73,6.4904,3.4014,-2.7888,1.3449
198404,-0.56,-1.14,1.26,0.81,1.139,-0.2193,2.8689,0.2735
198405,-6.01,0.06,0.22,0.78,-4.2793,-4.4396,-14.5817,-5.2351
198406,1.59,-0.24,-2.66,0.75,-0.2353,-1.8561,0.9524,2.3593
198407,-2.88,-2.28,0.33,0.82,0,4.7281,-9.2453,-2.0359
198408,10.44,-0.27,-1.84,0.83,7.8571,12.7314,26.0638,11.2571
198409,-0.82,0.22,5.27,0.86,-0.6623,0.404,1.2658,0.0384
198410,-1.01,-1.18,0.53,1,3.139,1.1871,1.4167,0.0131
198411,-1.8,-0.67,3.97,0.73,-2.7391,-2.3069,-4.1841,-1.0492
198412,1.73,-0.56,-0.09,0.64,2.2573,1.1294,-5.2402,2.3797
198501,7.92,3.25,-5.37,0.65,12.8035,10.7614,5.2535,8.5734
198502,1.11,0.84,-0.07,0.58,0.4697,-0.9349,7.1429,1.7002
198503,-0.79,-1.12,4.02,0.62,-7.0727,-5.2239,0,-0.193
198504,-0.94,0.15,3.69,0.72,0,-0.3937,2.6667,-0.2183
198505,4.92,-2.26,-0.86,0.66,3.4672,2.5494,2.8926,5.5878
198506,1.16,0.51,0.47,0.55,2.0619,-3.7901,-3.2129,1.7188
198507,-0.65,2.84,-1.61,0.62,3.6364,6.1616,0.166,-0.0547
198508,-1.03,-0.35,2.19,0.55,-4.8733,-2.7783,-1.2658,-0.4806
198509,-4.58,-1.61,1.23,0.6,-4.8361,-2.1718,0.4274,-3.9657
198510,3.79,-1.58,0.7,0.65,0.2174,4.8436,9.9574,4.4577
198511,6.31,0.19,-2.92,0.61,13.8829,8.4504,-0.7874,6.9269
198512,3.66,-0.41,-1.48,0.65,11.741,11.2701,-3.9683,4.326
198601,0.42,1.18,0.48,0.56,-2.5773,-2.5723,-2.0661,0.9849
198602,6.72,-0.51,-0.64,0.53,10.1658,0.3135,-0.2532,7.2851
198603,4.79,-0.56,-0.55,0.6,1.2903,0.4143,-2.5862,5.3887
198604,-1.31,2.75,-2.97,0.52,-0.4777,3.1353,4.1593,-0.8061
198605,4.59,-1.25,-0.14,0.49,2.08,-1.776,8.2251,5.0822
198606,0.9,-0.92,1.3,0.52,2.2947,-3.8556,1.2,1.4299
198607,-6.49,-3.43,4.7,0.52,-9.8765,-9.5563,-2.2134,-5.9675
198608,6.16,-4.2,3.54,0.46,7.7055,5.5472,17.284,6.639
198609,-8.35,2.29,3.2,0.45,-7.8474,-3.0631,5.2632,-7.9142
198610,4.47,-2.59,-1.42,0.46,6.087,-8.0855,2,4.945
198611,1.12,-1.96,-0.1,0.39,8.8525,3.7209,4.3791,1.516
198612,-3.13,0.09,0.31,0.49,4.3735,-5.6047,1.9048,-2.6555
198701,12.43,-1.75,-3.1,0.42,16.5698,7.2917,9.3458,12.8378
198702,4.36,3.48,-5.9,0.43,3.1172,9.2039,-2.1652,4.7627
198703,1.89,0.36,1.61,0.47,2.0605,7.6165,12.3894,2.3236
198704,-2.14,-1.67,-0.22,0.44,-1.3111,6.6611,-0.6824,-1.7122
198705,0.13,-0.54,0.23,0.38,0.4831,0.6089,-0.2674,0.5218
198706,3.89,-2.11,1.15,0.48,5.2019,1.5625,9.1153,4.3836
198707,3.96,-0.49,0.91,0.46,8.9655,-0.9231,3.1941,4.4058
198708,3.24,-0.78,-0.99,0.47,5.4852,5.264,2.9524,3.7228
198709,-2.53,0.57,0.29,0.45,-1.072,-10.4677,-8.1776,-2.0737
198710,-23.13,-8.42,4.09,0.6,-22.9675,-18.7396,-17.8117,-22.4879
198711,-7.58,2.63,3.25,0.35,-10.5541,-8.6939,-15.0464,-7.2908
198712,6.64,0.17,-4.44,0.39,4.9558,4.2889,15.9259,7.0414
198801,4.2,-0.63,5.18,0.29,2.2663,-2.7056,12.7796,4.5348
198802,4.71,3.38,-1.55,0.46,0.831,5.5395,0.9632,5.1609
198803,-2.1,6.18,0.8,0.44,-10.4945,-8.4043,0.5682,-1.7064
198804,0.64,0.92,1.64,0.46,0,5.3426,5.6497,1.0989
198805,-0.47,-2.68,2.26,0.51,4.0248,0.1985,-2.7273,0.0938
198806,4.66,2.03,-1.26,0.49,5.2976,13.2222,-3.0641,5.1372
198807,-1.24,-0.17,2.29,0.51,-2.5641,-1.2758,2.8736,-0.7179
198808,-3.39,0.1,2.04,0.59,-5.5556,-10.4573,-1.7318,-2.7928
198809,3.1,-1.28,-0.7,0.62,8.2972,3.4753,-1.7291,3.7276
198810,1.15,-2.91,1.62,0.61,0.5764,6.2839,4.1056,1.766
198811,-2.21,-1.76,1.23,0.57,3.1519,-2.4669,1.6338,-1.64
198812,1.48,1.95,-1.51,0.63,0.3556,2.8481,2.2472,2.1005
198901,6.06,-2.12,0.57,0.55,8.1006,7.1795,7.6374,6.5958
198902,-2.25,2.78,0.89,0.61,-5.4264,-6.1435,-3.6176,-1.6365
198903,1.48,0.74,0.51,0.67,-1.8361,-10.1852,5.0938,2.153
198904,4.15,-0.56,-1.47,0.67,9.8315,4.4674,3.5714,4.8536
198905,3.14,-0.04,-0.85,0.79,11.7647,-2.7763,2.7586,3.9529
198906,-1.2,-1,2.17,0.71,-4.7414,2.0525,-4.1262,-0.4925
198907,7.01,-4.05,-2.72,0.7,13.3172,2.7933,3.7975,7.7109
198908,1.47,0.59,0.64,0.74,-1.4957,2.9,8.3415,2.196
198909,-0.8,0.33,-1.29,0.65,-1.2408,-6.7236,2.2779,-0.1587
198910,-3.61,-3.23,-1.14,0.68,-1.9912,-8.238,0.49,-2.939
198911,1.09,-1.24,-1.15,0.69,11.9639,-1.4115,5.6054,1.7846
198912,1.22,-2.38,0.19,0.61,4.7903,-3.5851,6.3694,1.829
199001,-7.58,-1.26,0.82,0.57,-3.4884,4.7809,-4.5509,-7.0054
199002,0.92,1.04,0.64,0.57,-0.0482,6.5501,4.4397,1.4978
199003,1.77,1.49,-2.9,0.64,4.0486,2.1661,-0.4049,2.4162
199004,-3.52,-0.47,-2.47,0.69,-0.3891,2.7091,-2.0325,-2.815
199005,8.21,-2.6,-3.75,0.68,8.3516,11.2018,5.5602,8.8887
199006,-1.05,1.46,-2.03,0.63,0.5445,-2.0833,-1.7893,-0.43
199007,-1.62,-3.07,0.11,0.68,3.4296,-5.1064,6.8421,-0.9381
199008,-9.85,-3.51,1.54,0.66,-13.438,-7.5471,-2.1073,-9.174
199009,-5.98,-3.65,0.66,0.6,-11.3387,4.4172,-1.5656,-5.3868
199010,-1.93,-5.56,0.21,0.68,-4.5872,-0.9401,-8.3897,-1.2422
199011,6,0.32,-3.01,0.57,5.2885,8.9775,3.5165,6.5985
199012,2.35,0.79,-1.56,0.6,5.726,-0.5501,-1.4862,2.9549
199101,4.39,3.84,-1.74,0.52,11.5468,12.1681,-0.9052,4.9067
199102,7.1,3.91,-0.58,0.48,7.0469,2.5325,11.0132,7.5686
199103,2.45,3.92,-1.21,0.44,2.3897,-11.5534,2.381,2.8793
199104,-0.2,0.52,1.45,0.53,1.6158,-9.5499,6.2016,0.3332
199105,3.6,-0.36,-0.53,0.47,9.9081,4.2087,-2.6642,4.0607
199106,-4.82,0.12,1.14,0.42,-4.2071,-8.4806,-2.4668,-4.4247
199107,4.19,-0.96,-1.3,0.49,-1.0135,4.2471,6.4981,4.6838
199108,2.22,1.61,-0.79,0.46,2.2184,-3.1259,1.1091,2.6912
199109,-1.56,1.67,-1.09,0.46,-6.6644,6.9677,-0.3656,-1.1062
199110,1.36,0.87,-0.41,0.42,-0.5405,-5.187,4.2936,1.7714
199111,-4.12,-0.55,-1.84,0.39,-6.1594,-4.6209,-7.8292,-3.7272
199112,10.3,-2.26,-4.01,0.38,18.9961,-3.7838,4.8263,10.7055
199201,-0.46,8.43,4.53,0.34,-1.634,1.1236,-5.8932,-0.1693
199202,1.06,0.88,6.37,0.28,4.485,-2.1278,-1.8787,1.3281
199203,-2.71,-1.04,3.66,0.34,-2.9571,-3.8849,-3.8384,-2.368
199204,1.02,-6.11,4.33,0.32,1.1551,8.6826,8.6134,1.3838
199205,0.36,0.4,1.23,0.28,-0.3263,1.3333,1.8182,0.6497
199206,-2.25,-3.09,3.3,0.32,2.5205,7.8512,-5.3846,-1.9241
199207,3.68,-0.42,-0.52,0.31,-1.6077,-3.1928,5.8943,3.9942
199208,-2.34,-0.09,-1.07,0.26,-3.268,-7.2982,0.8445,-2.0754
199209,0.98,0.55,-0.22,0.26,6.5405,-6.7821,0.578,1.2426
199210,0.87,2.09,-2.06,0.23,-1.9169,-17.1827,-3.4483,1.0905
199211,3.79,3.61,-1.57,0.23,8.4691,3.8654,-2.3016,4.0181
199212,1.5,1.64,2.49,0.28,3.4595,-26.1905,3.9095,1.7482
199301,1.03,2.02,5.83,0.23,0.731,2.2333,0.7921,1.2331
199302,0.32,-3.37,6.52,0.22,-2.3222,6.6311,7.1513,0.5486
199303,2.26,0.3,1.29,0.25,6.6924,-6.4368,2.0408,2.5029
199304,-2.78,-0.68,2.62,0.24,1.683,-4.4226,3.0909,-2.5503
199305,2.74,2,-3.39,0.22,2.3448,9.5938,-0.4586,2.9422
199306,0.29,-0.3,2.59,0.25,3.9137,-6.3981,7.1685,0.5123
199307,-0.32,0.97,3.25,0.24,2.8721,-9.8734,0.8361,-0.0773
199308,3.7,0.29,-0.46,0.25,-0.2538,3.3708,4.2123,3.9344
199309,-0.2,3.15,-0.43,0.26,-1.7761,-8.1967,4.9839,0.0598
199310,1.59,1.45,-1.59,0.22,1.1734,9.5238,-0.1531,1.803
199311,-2.01,-1.44,-0.29,0.25,1.4175,17.663,-5.2454,-1.7317
199312,1.72,1.23,0.58,0.23,7.3393,4.8724,3.6007,1.9438
199401,2.9,0.13,2.11,0.25,2.7414,0,2.3697,3.1304
199402,-2.63,2.71,-1.45,0.21,-2.2042,-5.9735,-1.8827,-2.4074
199403,-4.85,-0.94,1.36,0.27,-4.4176,3.3097,-5.4054,-4.5743
199404,0.68,-0.87,1.7,0.27,-4.75,5.2632,5.2101,0.9815
199405,0.62,-2.02,0.2,0.32,4.4619,10,4.6006,0.9504
199406,-3.1,-0.48,1.67,0.31,-5.5578,-6.746,0.6173,-2.7381
199407,2.78,-1.77,0.97,0.28,8.0429,5.3191,2.9141,3.0411
199408,3.89,1.44,-3.49,0.37,-1.2407,11.1111,1.6095,4.2831
199409,-2.21,2.68,-1.8,0.37,-2.5427,1.6423,-6.2222,-1.8664
199410,1.07,-2.16,-2.36,0.38,1.5584,7.0018,8.6888,1.4875
199411,-4.09,-0.17,-0.05,0.37,-5.8824,-4.698,0.1163,-3.7079
199412,0.82,0.05,0.26,0.44,11.7609,3.8869,-1.173,1.2752
199501,1.62,-2.94,1.67,0.42,0.9804,-1.8707,3.5312,2.0623
199502,3.56,-0.34,0.39,0.4,6.3107,4.6794,0.7236,3.9655
199503,2.24,-0.35,-2.04,0.46,-0.621,9.1362,6.4655,2.6966
199504,2.06,-0.41,1.73,0.44,3.7037,15.2207,2.4291,2.4903
199505,2.86,-2.22,1.92,0.54,3.5714,-1.4531,5.8498,3.415
199506,2.65,3.09,-2.95,0.47,-2.0948,3.2258,-3.5176,3.0846
199507,3.63,2.24,-2.23,0.45,4.6563,13.4115,1.8229,4.0675
199508,0.46,1.82,1.92,0.47,-0.2119,-4.822,-1.6113,0.9336
199509,3.21,-2.04,-0.98,0.43,8.9766,-8.5852,4.5932,3.6391
199510,-1.6,-3.94,-0.12,0.47,-0.7843,2.9101,1.1292,-1.115
199511,3.85,-0.84,0.31,0.42,6.1265,-0.3856,4.5161,4.2984
199512,1.03,0.39,1.32,0.49,7.9479,-5.4334,7.0659,1.5395
199601,2.38,-2.52,0.42,0.43,6.5972,18.7414,-0.8949,2.8081
199602,1.24,2.07,-2.24,0.39,-1.6287,13.2488,-0.1806,1.6042
199603,0.7,1.31,1.31,0.39,3.755,-9.2762,5.7013,1.1196
199604,2.09,4.91,-4.02,0.46,-0.8026,-3.1461,-0.7551,2.513
199605,2.26,3.24,-1.38,0.42,7.1197,-0.6032,-0.9783,2.6733
199606,-1.23,-3.66,1.97,0.4,4.8338,-7.26,-0.443,-0.7649
199607,-5.83,-3.57,4.34,0.45,-4.6571,8.5859,-1.891,-5.3415
199608,2.84,2.28,-0.57,0.41,1.0638,6.7209,3.4014,3.2191
199609,4.86,-0.8,-3.78,0.44,10.0271,8.8525,2.4336,5.2988
199610,0.94,-4.1,4.82,0.42,6.3187,3.6145,0.8639,1.3957
199611,6.14,-3.56,0.21,0.41,7.4935,23.8178,4.6039,6.5701
